City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
235,kudahuvadhoo,2.6708,72.8944,27.96,77,100,4.1,MV,1691358421
236,baiti,13.745,-14.7482,23.72,93,100,4.21,SN,1691358704
237,masterton,-40.9597,175.6575,10.49,88,85,2.04,NZ,1691358704
238,columbia falls,48.3725,-114.1815,23.28,48,0,2.06,US,1691358704
239,carutapera,-1.195,-46.02,26.0,83,20,4.32,BR,1691358705
240,hosur,12.7167,77.8167,20.95,86,72,5.96,IN,1691358475
241,cabo san lucas,22.8909,-109.9124,31.21,77,100,8.05,MX,1691358706
242,vilyuchinsk,52.9306,158.4028,16.15,71,97,2.66,RU,1691358706
243,nafplio,37.5683,22.8053,24.42,62,0,2.89,GR,1691358706
244,janeng,-25.4167,25.55,6.8,41,0,2.14,BW,1691358707
245,beaufort west,-32.3567,22.583,13.14,48,0,2.15,ZA,1691358452
246,luderitz,-26.6481,15.1594,16.84,65,0,3.73,NA,1691358604
247,chake chake,-5.2459,39.7666,23.33,82,4,4.37,TZ,1691358708
248,pestovo,58.5938,35.8024,21.35,81,10,2.78,RU,1691358708
249,pacific grove,36.6177,-121.9166,32.03,85,20,4.92,US,1691358669
250,cambria,35.5641,-121.0808,40.31,52,27,5.25,US,1691358709
251,san pedro pochutla,15.7333,-96.4667,34.28,65,41,3.15,MX,1691358710
252,pangai,-19.8,-174.35,22.06,94,100,5.14,TO,1691358556
253,colonia,50.9333,6.95,13.87,89,75,7.72,DE,1691358711
254,potanino,55.1786,61.6222,17.13,93,40,3.0,RU,1691358711
255,talara,-4.5772,-81.2719,26.42,69,0,7.29,PE,1691358711
256,brookings,44.3114,-96.7984,21.32,84,40,3.6,US,1691358712
257,rio gallegos,-51.6226,-69.2181,2.03,69,20,10.8,AR,1691358712
258,sao francisco,-15.9486,-44.8644,23.6,23,3,1.82,BR,1691358713
259,pemba,-12.974,40.5178,23.74,78,26,5.32,MZ,1691358713
260,gamba,-2.65,10.0,21.28,89,12,2.06,GA,1691358713
261,horazdovice,49.3207,13.701,14.21,86,100,8.58,CZ,1691358714
262,porto novo,6.4965,2.6036,25.9,88,89,4.46,BJ,1691358514
263,porkhov,57.765,29.5561,23.25,75,0,4.26,RU,1691358715
264,bom jesus,-9.0744,-44.3586,27.87,31,16,2.37,BR,1691358715
265,kavieng,-2.5744,150.7967,27.16,75,100,5.9,PG,1691358715
266,dassun,17.7204,121.6816,24.98,82,100,1.29,PH,1691358716
267,cartagena del chaira,1.3349,-74.8429,25.23,90,80,1.6,CO,1691358716
268,samsula-spruce creek,29.0493,-81.0619,34.01,77,75,1.54,US,1691358717
269,shetpe,44.1667,52.1167,29.23,32,0,2.43,KZ,1691358717
270,kununurra,-15.7667,128.7333,20.99,37,15,3.6,AU,1691358718
271,huarmey,-10.0681,-78.1522,20.96,74,14,5.07,PE,1691358486
272,waynesville,35.4887,-82.9887,27.27,77,100,0.45,US,1691358719
273,robertsport,6.7533,-11.3686,25.76,78,49,4.21,LR,1691358719
274,lompoc,34.6391,-120.4579,33.9,82,0,4.12,US,1691358621
275,al 'aziziyah,32.9058,45.0616,36.01,18,0,6.75,IQ,1691358720
276,olyokminsk,60.3736,120.4264,18.83,79,96,1.15,RU,1691358720
277,sarkand,45.41,79.9186,23.91,41,100,1.92,KZ,1691358501
278,padang,-0.9492,100.3543,25.03,89,21,1.63,ID,1691358022
279,spring creek,40.7266,-115.5859,28.83,19,3,5.4,US,1691358721
280,invercargill,-46.4,168.35,6.68,89,66,4.47,NZ,1691358722
281,kingscliff,-28.2667,153.5667,16.54,77,40,5.14,AU,1691358722
282,umm kaddadah,13.6017,26.6876,29.87,51,82,4.88,SD,1691358723
283,minas de marcona,-15.2119,-75.1103,16.54,64,5,4.8,PE,1691358520
284,borzna,51.2546,32.4269,27.71,46,0,8.81,UA,1691358724
285,guatrache,-37.6678,-63.5302,12.39,23,14,4.43,AR,1691358724
286,howard springs,-12.497,131.047,19.95,63,10,2.95,AU,1691358724
287,lazaro cardenas,17.9583,-102.2,30.21,67,78,2.86,MX,1691358725
288,castillos,-34.1667,-53.8333,16.91,93,100,3.11,UY,1691358726
289,katerini,40.2719,22.5025,26.73,44,0,3.74,GR,1691358726
290,mali,12.079,-12.2982,16.49,96,100,2.06,GN,1691358727
291,sinan,34.8262,126.1086,26.06,87,30,4.9,KR,1691358727
292,uacu cungo,-11.3634,15.1208,17.06,30,0,0.6,AO,1691358727
293,arkhangel'sk,64.5401,40.5433,12.87,90,59,1.33,RU,1691358728
294,puerto armuelles,8.2833,-82.8667,31.99,70,100,1.34,PA,1691358728
295,luau,-10.7073,22.2247,18.94,34,0,2.09,AO,1691358558
296,buturlinovka,50.8239,40.6092,24.51,56,0,6.56,RU,1691358729
297,pale,43.8161,18.5694,9.86,100,0,0.51,BA,1691358729
298,turkestan,43.3333,68.25,24.35,43,28,2.52,KZ,1691358730
299,taoudenni,22.6783,-3.9836,41.05,8,5,4.83,ML,1691358730
300,amga,60.8953,131.9608,16.88,50,10,1.74,RU,1691358731
301,lobva,59.1854,60.5185,16.56,98,82,1.8,RU,1691358731
302,xinyuan,37.3,99.0,4.22,90,12,0.91,CN,1691358732
303,nuuk,64.1835,-51.7216,7.32,80,1,6.54,GL,1691358732
304,itoman,26.1247,127.6694,27.01,94,75,14.4,JP,1691358723
305,burang,30.25,81.1667,11.85,80,100,1.61,CN,1691358733
306,sokoni,-6.4333,39.55,24.57,80,6,6.43,TZ,1691358733
307,badger,64.8,-147.5333,25.55,43,100,1.54,US,1691358734
308,naze,28.3667,129.4833,25.51,90,100,16.68,JP,1691358734
309,bandarbeyla,9.4942,50.8122,24.36,80,83,13.37,SO,1691358734
310,chichiriviche,10.9333,-68.2772,28.5,81,59,6.7,VE,1691358735
311,lakhipur,26.0299,90.3041,25.82,96,100,2.07,IN,1691358735
312,puerto colombia,10.9878,-74.9547,32.05,82,18,9.43,CO,1691358736
313,kiffa,16.6166,-11.4045,36.11,39,78,6.18,MR,1691358467
314,tual,-5.6667,132.75,25.52,82,6,10.17,ID,1691358737
315,montepuez,-13.1256,38.9997,18.05,80,8,2.42,MZ,1691358737
316,shingu,33.7333,135.9833,26.17,93,99,4.26,JP,1691358618
317,laguna,38.421,-121.4238,40.19,23,0,5.66,US,1691358738
318,qamdo,31.1667,97.2333,6.61,77,91,1.7,CN,1691358738
319,fale old settlement,-9.3852,-171.2468,28.65,71,75,5.1,TK,1691358739
320,caleta olivia,-46.4393,-67.5281,4.51,40,6,5.28,AR,1691358739
321,san jose de feliciano,-30.3845,-58.7517,26.43,41,18,3.23,AR,1691358740
322,san angelo,31.4638,-100.437,42.19,18,0,4.02,US,1691358740
323,laibin,23.7,109.2667,25.67,92,99,2.71,CN,1691358740
324,belyayevka,51.3974,56.4096,19.26,59,46,3.27,RU,1691358741
325,petropavlovsk-kamchatsky,53.0452,158.6483,15.33,100,75,2.0,RU,1691358741
